Title,Year
A_Ticklish_Affair,1963
Action_in_the_North_Atlantic,1943
And_the_Ship_Sails_On,1984
Autumn_Sonata,1978
Bachelor_Apartment,1931
Benson_Murder_Case,1930
Black_Hand,1950
Blaze,1989
Blondie_Has_Servant_Trouble,1940
Blondie_in_the_Dough,1947
Brewster_McCloud,1970
Calling_Philo_Vance,1940
Car_Wash,1976
City_Lights,1985
Come_Out_Fighting,1945
Conflict,1945
Conquest,1937
Dakota,1988
Deadhead_Miles,1972
Divided_Heart,1954
Evergreen,1934
Falcon_Strikes_Back,1943
Find_the_Lady,1976
Five_Golden_Hours,1961
Flash_and_the_Firecat,1975
Flight,1929
Four_Jills_in_a_Jeep,1944
Galileo,1973
Hambone_and_Hillie,1984
Hitler--Dead_or_Alive,1943
Hold_Back_Tomorrow,1955
House_Party_3,1994
It_Came_from_Outer_Space,1953
Jason's_Lyric,1994
Jessica,1962
Kit_Carson,1940
Kronos,1957
Lady_Dracula,1973
Last_Plane_Out,1983
Mad_Love,1995
Manhunter,1986
Memories_of_Me,1988
Murder_by_Television,1935
Night_of_the_Dark_Shadows,1971
Okinawa,1952
Once_a_Thief,1965
One_Crazy_Summer,1986
Our_Man_in_Havana,1960
Secret_World,1969
Secrets,1971
Seminole_Uprising,1955
She_Demons,1958
Sherlock_Jr.,1924
Shout_at_the_Devil,1976
Single_Room_Furnished,1968
Sleep_My_Love,1948
Smash_Up:_The_Story_of_a_Woman,1947
Spare_the_Rod,1961
Station_West,1948
Telefon,1977
The_Abominable_Dr._Phibes,1971
The_Amazing_Transparent_Man,1960
The_Boogens,1981
The_Boy_Who_Cried_Bitch,1991
The_Chocolate_War,1988
The_Cockeyed_Miracle,1946
The_Competition,1980
The_Curse_of_Bigfoot,1972
The_Great_Waldo_Pepper,1975
The_Hatter's_Ghost,1982
The_Judge_and_the_Assassin,1975
The_Last_Valley,1970
The_Marriage_of_a_Young_Stockbroker,1971
The_Miracle_Worker,1962
The_Mutineers,1949
The_Raven,1963
The_Ravine,1969
The_Revolt_of_Job,1983
The_Romantic_Age,1949
The_Siege_at_Red_River,1954
The_Stone_Boy,1984
The_Strip,1951
The_Surrogate,1984
The_Twinkle_in_God's_Eye,1955
The_Ultimate_Warrior,1975
The_Unholy_Three,1930
The_Well,1951
Tom_Dick_and_Harry,1941
Triumph_of_the_Spirit,1989
Uncle_Moses,1932
Unsane,1982
Valley_of_Gwangi,1969
Valley_of_the_Dragons,1961
Vicki,1953
Volere_Volare,1991
Warning_Shot,1967
Whispering_Smith_vs._Scot._Yard,1951
Windows,1980
Windwalker,1980
You_Only_Live_Twice,1967
